user_id,event_name,event_dt
5770,signup,2025-01-01T06:25:00
5770,verify_email,2025-01-01T06:27:00
3211,signup,2025-01-01T06:42:00
5770,complete_profile,2025-01-01T07:03:00
3211,verify_email,2025-01-01T07:08:00
5352,signup,2025-01-01T07:08:00
657,signup,2025-01-01T07:10:00
3000,signup,2025-01-01T07:10:00
5352,verify_email,2025-01-01T07:11:00
3551,signup,2025-01-01T07:26:00
657,verify_email,2025-01-01T07:33:00
5352,complete_profile,2025-01-01T07:35:00
5673,signup,2025-01-01T07:39:00
4086,signup,2025-01-01T07:44:00
657,complete_profile,2025-01-01T07:46:00
3000,verify_email,2025-01-01T07:48:00
3211,complete_profile,2025-01-01T07:48:00
4086,verify_email,2025-01-01T07:50:00
4086,complete_profile,2025-01-01T07:54:00
3551,verify_email,2025-01-01T07:59:00
2358,signup,2025-01-01T08:07:00
5673,verify_email,2025-01-01T08:08:00
5352,create_project,2025-01-01T08:15:00
5636,signup,2025-01-01T08:16:00
4525,signup,2025-01-01T08:19:00
3551,complete_profile,2025-01-01T08:20:00
4525,verify_email,2025-01-01T08:20:00
5292,signup,2025-01-01T08:21:00
3000,complete_profile,2025-01-01T08:22:00
4525,complete_profile,2025-01-01T08:24:00
4086,create_project,2025-01-01T08:29:00
3000,create_project,2025-01-01T08:36:00
3551,create_project,2025-01-01T08:36:00
5292,verify_email,2025-01-01T08:45:00
5336,signup,2025-01-01T08:46:00
5292,complete_profile,2025-01-01T08:48:00
4064,signup,2025-01-01T08:51:00
4525,create_project,2025-01-01T08:52:00
5292,create_project,2025-01-01T09:03:00
4525,connect_source,2025-01-01T09:19:00
4064,verify_email,2025-01-01T09:24:00
5904,signup,2025-01-01T09:24:00
4064,complete_profile,2025-01-01T09:27:00
5904,verify_email,2025-01-01T09:49:00
4361,signup,2025-01-01T09:51:00
4064,create_project,2025-01-01T09:52:00
4525,first_dashboard,2025-01-01T09:55:00
4361,verify_email,2025-01-01T09:57:00
5355,signup,2025-01-01T10:29:00
4525,invite_teammate,2025-01-01T10:33:00
5045,signup,2025-01-01T10:41:00
5045,verify_email,2025-01-01T10:59:00
1642,signup,2025-01-01T11:02:00
5355,verify_email,2025-01-01T11:09:00
790,signup,2025-01-01T11:18:00
5045,complete_profile,2025-01-01T11:18:00
5355,complete_profile,2025-01-01T11:21:00
2808,signup,2025-01-01T11:27:00
1642,verify_email,2025-01-01T11:28:00
4204,signup,2025-01-01T11:28:00
2808,verify_email,2025-01-01T11:30:00
5223,signup,2025-01-01T11:31:00
2808,complete_profile,2025-01-01T11:45:00
4338,signup,2025-01-01T11:46:00
790,verify_email,2025-01-01T11:47:00
1642,complete_profile,2025-01-01T11:51:00
5355,create_project,2025-01-01T11:51:00
5045,create_project,2025-01-01T11:52:00
4338,verify_email,2025-01-01T12:01:00
4204,verify_email,2025-01-01T12:05:00
5223,verify_email,2025-01-01T12:08:00
1642,create_project,2025-01-01T12:12:00
4338,complete_profile,2025-01-01T12:14:00
5355,connect_source,2025-01-01T12:19:00
4204,complete_profile,2025-01-01T12:21:00
5223,complete_profile,2025-01-01T12:30:00
1642,connect_source,2025-01-01T12:37:00
5355,first_dashboard,2025-01-01T12:45:00
5223,create_project,2025-01-01T12:58:00
5355,invite_teammate,2025-01-01T12:58:00
2695,signup,2025-01-01T13:14:00
1642,first_dashboard,2025-01-01T13:17:00
5962,signup,2025-01-01T13:21:00
2695,verify_email,2025-01-01T13:22:00
1402,signup,2025-01-01T13:23:00
1402,verify_email,2025-01-01T13:25:00
1402,complete_profile,2025-01-01T13:32:00
2731,signup,2025-01-01T13:35:00
3805,signup,2025-01-01T13:54:00
1402,create_project,2025-01-01T13:56:00
5962,verify_email,2025-01-01T13:57:00
2731,verify_email,2025-01-01T13:58:00
1402,connect_source,2025-01-01T14:04:00
5288,signup,2025-01-01T14:14:00
3805,verify_email,2025-01-01T14:15:00
5962,complete_profile,2025-01-01T14:20:00
794,signup,2025-01-01T14:26:00
1402,first_dashboard,2025-01-01T14:26:00
4419,signup,2025-01-01T14:28:00
2731,complete_profile,2025-01-01T14:38:00
2731,create_project,2025-01-01T14:46:00
4419,verify_email,2025-01-01T14:47:00
4419,complete_profile,2025-01-01T14:52:00
5962,create_project,2025-01-01T14:55:00
1402,invite_teammate,2025-01-01T14:59:00
794,verify_email,2025-01-01T15:03:00
5247,signup,2025-01-01T15:07:00
5123,signup,2025-01-01T15:09:00
5247,verify_email,2025-01-01T15:20:00
2214,signup,2025-01-01T15:28:00
1573,signup,2025-01-01T15:38:00
5247,complete_profile,2025-01-01T15:45:00
1573,verify_email,2025-01-01T15:46:00
1573,complete_profile,2025-01-01T15:47:00
3928,signup,2025-01-01T15:50:00
3312,signup,2025-01-01T16:00:00
5247,create_project,2025-01-01T16:08:00
3928,verify_email,2025-01-01T16:13:00
5058,signup,2025-01-01T16:16:00
3312,verify_email,2025-01-01T16:18:00
3928,complete_profile,2025-01-01T16:19:00
3312,complete_profile,2025-01-01T16:25:00
1573,create_project,2025-01-01T16:27:00
3928,create_project,2025-01-01T16:29:00
5058,verify_email,2025-01-01T16:33:00
3928,connect_source,2025-01-01T16:40:00
2497,signup,2025-01-01T16:46:00
3135,signup,2025-01-01T16:46:00
3135,verify_email,2025-01-01T16:54:00
3312,create_project,2025-01-01T17:00:00
5058,complete_profile,2025-01-01T17:07:00
5058,create_project,2025-01-01T17:08:00
2497,verify_email,2025-01-01T17:12:00
3928,first_dashboard,2025-01-01T17:13:00
3135,complete_profile,2025-01-01T17:18:00
841,signup,2025-01-01T17:22:00
2497,complete_profile,2025-01-01T17:27:00
3135,create_project,2025-01-01T17:33:00
841,verify_email,2025-01-01T17:35:00
3312,connect_source,2025-01-01T17:35:00
5058,connect_source,2025-01-01T17:42:00
3928,invite_teammate,2025-01-01T17:49:00
841,complete_profile,2025-01-01T18:03:00
3312,first_dashboard,2025-01-01T18:11:00
5058,first_dashboard,2025-01-01T18:14:00
5058,invite_teammate,2025-01-01T18:32:00
841,create_project,2025-01-01T18:35:00
3312,invite_teammate,2025-01-01T18:42:00
4010,signup,2025-01-01T18:51:00
732,signup,2025-01-01T18:56:00
2128,signup,2025-01-01T19:12:00
2128,verify_email,2025-01-01T19:17:00
732,verify_email,2025-01-01T19:20:00
1104,signup,2025-01-01T19:20:00
1104,verify_email,2025-01-01T19:22:00
2128,complete_profile,2025-01-01T19:29:00
1104,complete_profile,2025-01-01T19:42:00
732,complete_profile,2025-01-01T19:45:00
3722,signup,2025-01-01T20:17:00
1631,signup,2025-01-01T20:19:00
1104,create_project,2025-01-01T20:22:00
1104,connect_source,2025-01-01T20:30:00
3722,verify_email,2025-01-01T20:38:00
1887,signup,2025-01-01T20:56:00
3722,complete_profile,2025-01-01T20:58:00
1104,first_dashboard,2025-01-01T21:01:00
1887,verify_email,2025-01-01T21:01:00
4690,signup,2025-01-01T21:12:00
1768,signup,2025-01-01T21:15:00
5105,signup,2025-01-01T21:16:00
3722,create_project,2025-01-01T21:19:00
1104,invite_teammate,2025-01-01T21:22:00
1887,complete_profile,2025-01-01T21:26:00
1768,verify_email,2025-01-01T21:28:00
1768,complete_profile,2025-01-01T21:40:00
4690,verify_email,2025-01-01T21:41:00
5105,verify_email,2025-01-01T21:53:00
5666,signup,2025-01-01T21:56:00
5666,verify_email,2025-01-01T22:31:00
5105,complete_profile,2025-01-01T22:33:00
5666,complete_profile,2025-01-01T22:46:00
3128,signup,2025-01-01T22:47:00
5666,create_project,2025-01-01T22:49:00
5477,signup,2025-01-01T22:51:00
688,signup,2025-01-01T22:58:00
5105,create_project,2025-01-01T23:10:00
3128,verify_email,2025-01-01T23:23:00
688,verify_email,2025-01-01T23:34:00
688,complete_profile,2025-01-02T00:01:00
688,create_project,2025-01-02T00:37:00
5183,signup,2025-01-02T06:38:00
5147,signup,2025-01-02T06:55:00
409,signup,2025-01-02T07:02:00
4572,signup,2025-01-02T07:10:00
5183,verify_email,2025-01-02T07:16:00
409,verify_email,2025-01-02T07:17:00
3716,signup,2025-01-02T07:17:00
5147,verify_email,2025-01-02T07:20:00
409,complete_profile,2025-01-02T07:23:00
3716,verify_email,2025-01-02T07:33:00
5330,signup,2025-01-02T07:34:00
4572,verify_email,2025-01-02T07:36:00
4572,complete_profile,2025-01-02T07:42:00
4572,create_project,2025-01-02T07:43:00
4944,signup,2025-01-02T07:47:00
4572,connect_source,2025-01-02T07:53:00
5330,verify_email,2025-01-02T07:53:00
409,create_project,2025-01-02T07:55:00
3716,complete_profile,2025-01-02T07:55:00
4944,verify_email,2025-01-02T07:56:00
4944,complete_profile,2025-01-02T08:01:00
544,signup,2025-01-02T08:16:00
409,connect_source,2025-01-02T08:23:00
5330,complete_profile,2025-01-02T08:24:00
4572,first_dashboard,2025-01-02T08:29:00
4944,create_project,2025-01-02T08:30:00
5330,create_project,2025-01-02T08:34:00
544,verify_email,2025-01-02T08:35:00
544,complete_profile,2025-01-02T08:37:00
409,first_dashboard,2025-01-02T08:41:00
3304,signup,2025-01-02T08:46:00
409,invite_teammate,2025-01-02T08:47:00
3012,signup,2025-01-02T08:47:00
3012,verify_email,2025-01-02T08:55:00
4572,invite_teammate,2025-01-02T09:05:00
3941,signup,2025-01-02T09:12:00
3304,verify_email,2025-01-02T09:14:00
3102,signup,2025-01-02T09:15:00
1019,signup,2025-01-02T09:17:00
3012,complete_profile,2025-01-02T09:22:00
3304,complete_profile,2025-01-02T09:26:00
59,signup,2025-01-02T09:36:00
3012,create_project,2025-01-02T09:40:00
1616,signup,2025-01-02T09:42:00
